descricao,departamento
NECTAR SUFRESH LARANJA 1L,BEBIDAS NÃO ALCOÓLICAS
BULE TERMICO 750ml SOPRANO SONETTO VERDE,UTILIDADES DE COZINHA
TOALHA PISO COTEMINAS CEDRO CORAL,"CAMA, MESA E BANHO"
BRINQUEDO C/10un CONEXAO FORM SUPER,BRINQUEDO
PRATO DURALEX ASTRAL RS,UTILIDADES DE COZINHA
PAPRICA CHELLI PICANTE TB 41G,MERCEARIA SALGADA
ERVAS FINAS AMIL 10GR .,MERCEARIA SALGADA
SAB BAR PALMOLIVE SUAVE GELEIA REAL 85G,HIGIENE PESSOAL
PEPINO ORG RIO DE UNA 400G-BJ,HORTIFRUTI
SALGADINHO FABITOS 90GR PRESUNTO,MERCEARIA DOCE
BROCOLIS NINJA SUGUIMOTO BDJ UN,HORTIFRUTI
COBERTOR IMP ACASA MAQUIN CASAL AZ CL,"CAMA, MESA E BANHO"
LINGUICA SAUDALI PERNIL ALHO kg,EMBUTIDOS
DOCE DTC HELLO KITTY 7G,MERCEARIA DOCE
MASSA GAROFALO MAFALDA S/GLUT PCT 400G,MERCEARIA SALGADA
"LEITE FERM DAN UP 180G, VITAMINA",IOGURTES
MARCADOR PAGINAS PAPEL POST-IT,PAPELARIA
MAQ CAFE ESPRES TRES VERSA PT 127V,ELETRO
"CHOC SNICKERS 100 CALORIAS 21,5G-UN",MERCEARIA DOCE
PAPEL HIG LE BLANC FD 30M C/4 PERFUMADO,HIGIENE PESSOAL
CAPPUCCINO MERIDIANO 200G CHOCOLATE,MERCEARIA DOCE
SEMENTE DE GIRASSOL PACHA 500GR,MERCEARIA DOCE
AZEITONA PRETA 155g CASA ABRAHAO S/CAROCO,MERCEARIA SALGADA
LIMPA PNEU SPRAY LUXCAR 300ML,AUTOMOTIVO
POTE VIDRO HERMETICO EURO QUADRADO 300ML,UTILIDADES DE COZINHA
CUMBUCA COM ALCA 500ml UZ VERDE AGUA,UTILIDADES DE COZINHA
MANTEIGA MANDORELLA 170G NOZES,GORDUROSOS
"SAL MEU CHURRASCO C/AL 500G, ERVAS FINAS",MERCEARIA SALGADA
SACO P/ ASPIRADOR SWRIL WP 10,DESCARTÁVEIS
MOLHO SANTA AMALIA 900ML INGLES,MERCEARIA SALGADA
VENT COL ARNO 40CM PT REP 220V VF5C,ELETRO
MOSTARDA,MERCEARIA SALGADA
TOMATE CAJA GOLDEN KG,HORTIFRUTI
BULE TERM TRAMONTINA 750ML EXATA61645074,UTILIDADES DE COZINHA
MILHO PIPOCA PONZAN NAC 500G,MERCEARIA SALGADA
BALAO FEST LAR FELIZ ANIVERSARIO C 8,DESCARTÁVEIS
CADERNO CD 10M 200F TILIBRA ASSASSINS,PAPELARIA
GELATINA NOVEX MEUS CACHOS PEDOROSA 500G,CUIDADOS COM O CABELO
ACHOCOLATADO NESTLE CHOC QUENTE LT 200G,MERCEARIA DOCE
VINHO ESPUMANTE MUMM CUVEE DEMI SEC GFA 750ML,BEBIDAS ALCOÓLICAS
VINHO NACIONAL ARBO CABERNETT TTO SAUVIGNON 750ML,BEBIDAS ALCOÓLICAS
GEL HIGIENIZANTE ASEPTOL 1L,CUIDADOS COM A CASA
MOLHO EXOTIC FOOD HOT SWEET CHILLI 250ML,MERCEARIA SALGADA
QUEIJO LEITE CABRA (PED) VELDHUYZE (V)KG,FRIOS
PEIXE CACAO BOMAR POSTA CONG 800G,PEIXARIA
PERFUME SHAKIRA ROCK EDT 80ML,CUIDADOS COM O CORPO
BALA AZEDINHA ORG DEI FALCI BJ,MERCEARIA DOCE
BACON AURORA DEFUMADO PEDACO kg,EMBUTIDOS
ERVA DOCE KININO 20GR .,MERCEARIA SALGADA
PIMENTA AMIL 30GR CUMARI .,MERCEARIA SALGADA
SAL GROSSO CANTA GALLO 600G CHIMICHURRI,MERCEARIA SALGADA
"ALIM P GATOS FRISKIES MOLHO 85G, PERU",PET SHOP
TINTURA KOLESTON 466 VERM.INTENSO,CUIDADOS COM O CABELO
CHOC DIET VITAO ZERO ACUCAR S/LACTOSE 22G,MERCEARIA DOCE
COXA COM SOBRECOXA CONG VALESUL 1kg,AÇOUGUE
ELIMINADOR ODOR MAIS DOG 500M LAVANDA,PET SHOP
POTE PLASUTIL MODULINE ANTIBAC 4.3L 2300,UTILIDADES DE COZINHA
ESC DENT DES COLGATE 360 CAB COMP MAC LIMP COMPL LV2P,HIGIENE ORAL
LAGARTO EMBRIAGADO SAO LUIZ KG,AÇOUGUE
KIT GUARDANAPO COPA BASIC FEND 4P 011175,DESCARTÁVEIS
GOMA MASCAR TRIDENT XFRESH MENTA 18G,MERCEARIA DOCE
"ASSADEIRA CHEFF, 2.5L",UTILIDADES DE COZINHA
DESINFETANTE LYSOL LAVANDA 500ML,CUIDADOS COM O BANHEIRO
ERVA DOCE ALHEIRO 7G-PC,MERCEARIA SALGADA
MAC OVOS S-AMALIA 500G-PC FURADINHO-06,MERCEARIA SALGADA
HIDRAT LOC CORPO JOHNSONS SOFTLOT PELE SONHOS 400ML/PG 320,CUIDADOS COM O CORPO
VINHO ITALIANO VITTORIALE 750ML TINTO,BEBIDAS ALCOÓLICAS
T.BEAUTY COLOR KIT CR. 366 VIOL.PROF.,CUIDADOS COM O CABELO
LIMPA ALUM TOT 500ML,CUIDADOS COM A COZINHA
SOBREMESA CRE DANETTE 180G-BJ C2 CHOC,IOGURTES
BATEDOR NEDO DE OVO ESPIRAL 706,UTILIDADES DE COZINHA
TORNEIRA TRAMONTINA SENSETOP 6500W 220V,MANUTENÇÃO
QUEIJO TIROLEZ EDAM SKIN PACK (V) KG,FRIOS
SOBRECOXA FRANGO AGRECO CONG ORG BJ 600G,AÇOUGUE
MASSA FROLLA AVANTI TOR DOCE CON 250G,MASSAS FRESCAS
ERVILHA SHELBY LT 200G,MERCEARIA SALGADA
CEREAL INF CREMOGEMA TRAD VIT 200G,MERCEARIA DOCE
BATATA PRINGLES ORIGINAL 121G + 20% GTS,MERCEARIA DOCE
PALMITO MAGNO PALM PUPUNHA RODELA VD 300G,MERCEARIA SALGADA
CR DENT INF COLGATE MINIONS 100G,HIGIENE ORAL
MANTA MICROFIBRA PARAHYBA QUEEN .,"CAMA, MESA E BANHO"
CALDO MAGGI GALINHA CX 57G,MERCEARIA SALGADA
DES ROLL REXONA POWER 50ML,CUIDADOS COM O CORPO
CARRO VENTURA SPORT LIDER,BRINQUEDO
CHOC BAR GAROTO BCO/NEGRESCO 125G,MERCEARIA DOCE
BISC SAL PER CRACK CLUB SOCIAL QUEIJO 144G,MERCEARIA DOCE
ESCORREDOR LOUCA BRINOX R M2122193,UTILIDADES DE COZINHA
PATINHO BOV KORIN ORGANICO RESF (V) KG,AÇOUGUE
PICANHA BOVINA kg IMPORTADA,AÇOUGUE
SACO LIXO SANTA MARIA VIP 100L,DESCARTÁVEIS
CONFEITO CHOCOCANDY 350G-PC AMARELO,MERCEARIA DOCE
PURIF AR AERO GLADE OCEAN OASIS 360ML,CUIDADOS COM A CASA
DES ROLL REXONA CRYSTAL GOLD 50ML,CUIDADOS COM O CORPO
SH GRANADO CASTANHAS BRASIL 180ML,CUIDADOS COM O CABELO
CERVEJA SAGRES S/ALC LN 330ML,BEBIDAS ALCOÓLICAS
BROTO DE FEIJAO UN .,HORTIFRUTI
SAND AD INUP SLIM FEMININA ILL 005 35/36,CALÇADO
ACUCAR CONFEITEIRO BRETZKE 500g,MERCEARIA DOCE
CR TRAT SKALA FORTALEC. 1KG,CUIDADOS COM O CABELO
PAO DE QUEIJO CATUPIRY C/ CATUPIRY PCT 390G,SALGADOS
ALFACE AMERICANA DIRETO DA SERRA OR 250G,HORTIFRUTI
PIMENTA TEMPERATTA 30GR MALAGUETA .,MERCEARIA SALGADA
BANQUETA BETA BAIXA ACEN SORTIDO CONAN,LAZER/CAMPING
BALA DORI DISQ LOVE 80G,MERCEARIA DOCE
PICOLE SELECTO ICE 66G CUPUACU,CONGELADOS DOCES
QUEIJO COALHO SERTANORTE S/LAC ESPETO KG,FRIOS
REMOVEDOR AGIFACIL 1L,CUIDADOS COM A CASA
QUEIJO COTTAGE 350g PALMA ZERO LACTOSE,FRIOS
LEMON PEPPER CIA DAS ERVAS TB 23G,MERCEARIA SALGADA
PAO ROMANA 350G FORMA INTEGRAL GRANOLA,PADARIA
LAVA LOUCA LIQ YPE NEUTRO 5L,CUIDADOS COM A COZINHA
GARRAFA TERMICA INDIE MOR PT 1L,UTILIDADES DE COZINHA
AGUARD COMP 51 ASSINATURA 700ML SMOKED,BEBIDAS ALCOÓLICAS
CHOC BELGIAN DARK S/ACUCAR 100G ALMONDS,MERCEARIA DOCE
CAIXA KREA RATTAN PLAST 20L 18-01,LAVANDERIA
SECANTE ESM RISQUE TECHNOL SPR 300ML,CUIDADOS COM MÃOS E PÉS
PURIF AR GLADE PLUG APP CINNAM RF 21ML,CUIDADOS COM A CASA
MANJERONA YANO PCT 40G,MERCEARIA SALGADA
"POTE INPLAST CAFE RED 1,44L .",UTILIDADES DE COZINHA
UVA PASSAS BCA COSTUME SAUDAVEL 150G,EMPÓRIO
QUEIJEIRA DECORA GALINHA C/ROSCA,UTILIDADES DE COZINHA
FUNGHI MASTROIANI PORCINI PCT 30G,MERCEARIA SALGADA
TEMP PO EMPORIO TEMPEROS ALHO/CEBOLA E SALSA 20G,MERCEARIA SALGADA
FIO DENTAL SORRISO LV100M PG75M,HIGIENE ORAL
HAMB VEG SUPERBOM 360G CARNE,CONGELADOS SALGADOS
COLHER PARA SORVETE -DAISO,UTILIDADES DE COZINHA
LEITE UHT 1L UAI INTEGRAL,LEITE
CEBOLA POTATO BELT PCT 1KG,HORTIFRUTI
LIMPA ESTOFADOS KHARIS SPRAY 270ML,AUTOMOTIVO
CONFEITO BRANDT CROCANTE PCT 60G,MERCEARIA DOCE
"PAPEL TOALHA SCALA C/2, OURO",DESCARTÁVEIS
BROCOLIS FILETADO CEAROSA 200G,HORTIFRUTI
BISC MAE TERRA COOKIE BAN/CACAU 120G(V),MERCEARIA DOCE
PAO SPECIALE 420G CALABRESA/CEBOLA,PADARIA
LICOR STOCK PINA COLADA GFA 720ML,BEBIDAS ALCOÓLICAS
AZEITE OLIV.THALOS EXT.VIRGEM 250ML GOUR.,MERCEARIA SALGADA
PIMENTAO TRICOLOR BENASSI 500G,HORTIFRUTI
ESPINAFRE VIVARIS IN NATURA ORGANICO UN,HORTIFRUTI
BALA NEUGEBAUER DUPY IOGURTE 150G,MERCEARIA DOCE
IOG.SELITA PESSEGO 1LT,IOGURTES
LIMPADOR YPE PERFUMADO 500ML AZUL TROPICAL,CUIDADOS COM A CASA
LIVRO DCL DISNEY CORES MEU MALVA +12 GIZ,PAPELARIA
SUSTAIN CHOCOLATE 450GR .,MERCEARIA DOCE
LEITE LV SHEFA GARRAFA INTEGRAL 1LT,LEITE
MASCARA SALON LINE SOS RICINO/QUERATINA 500G,CUIDADOS COM O CABELO
EXTENSAO NEW 5 m un,MANUTENÇÃO
BANHEIRA BEBE 20LI VERDE .,INFANTIL
CERV LOBA PALE ALE GF 600ML,BEBIDAS ALCOÓLICAS
SALGADINHO SNACKS AMENDUPA CHURRASCO 50G- PC,MERCEARIA DOCE
ARROZ SUPER ECCO 5KG,MERCEARIA SALGADA
LASANHA SEARA BOLONHESA CX 600G (V),PRATOS PRONTOS
LUVA SPONTEX CONFORT MULT ROSE M C/1 PAR,LAVANDERIA
PERFUME LONKOOM FOREVER FEM EDP 100ML,CUIDADOS COM O CORPO
SUCO JANDAIA PRONTO 1L POLLI FRUTTI,BEBIDAS NÃO ALCOÓLICAS
QUEIJO MUSS BETANIA FAT KG,FRIOS
MOLHO GORGONZOLA,MERCEARIA SALGADA
SARD ROBINSON CRUSOE 125G EM MOLH TOMATE,MERCEARIA SALGADA
BONECO POOH PASCOA 6513,BRINQUEDO
CHA HARMONIA CAPIM LIMAO CIDREIRA CX 20G,MERCEARIA DOCE
MAC SEMOLA ADRIA 500G ESPAGUETE N8,MERCEARIA SALGADA
PETISQUEIRA IMP BASE GIR BAMBU G15-ZB002,UTILIDADES DE COZINHA
CHICLE GB H ARANHA/HORT 400G-DY C100,MERCEARIA DOCE
CAFETEIRA CADENCE PROG 30X 127V CAF700,ELETRO
BISC ANCHIETA CHAMPAGNE 300G,MERCEARIA DOCE
"MARGARINA DELICIA 500G, C SAL",GORDUROSOS
FILTRO AR FRAM CA11222,AUTOMOTIVO
PAO AMIGO SL 300G,PADARIA
BISC SAL AG SAL ADRIA CRACKER 200G,MERCEARIA DOCE
ESM RISQUE VITRAL 8ML,CUIDADOS COM MÃOS E PÉS
BRUSCHETTA PAGANINI 170G AL TONNO,PADARIA
COLA CASCOLA FLEX SILICONE MET/PED 50G,MANUTENÇÃO
AVEIA FLOCOS FINOS KG,MERCEARIA DOCE
GFA TERMICA LEIFHEIT COLUMB 1L BC,UTILIDADES DE COZINHA
SALSICHA BERNA VITELA/SUINA KALBS 260G,EMBUTIDOS
CIGARRO HILTON LONGO BOX C/10,TABACO
TEMP ZAELI 60G FACA FACIL FEIJAO,MERCEARIA SALGADA
AGUA M PRATA PET 600ML ACTIVE NAT,BEBIDAS NÃO ALCOÓLICAS
"PAO HAMB PULLMAN 480G,",PADARIA
DES AERO REXONA SEXY 105G,CUIDADOS COM O CORPO
"AMAC ROUPA CONC COMFORT ORIGINAL 1,9L",CUIDADOS COM A ROUPA
AGUA COCO OBRIGADO JABUTICABA TP 1L,BEBIDAS NÃO ALCOÓLICAS
CONJ TACA SOBREMESA NADIR PAULISTA 220ML,UTILIDADES DE COZINHA
VINHO ARGENTINO KAUZO MALBEC/SYRAH 750ML,BEBIDAS ALCOÓLICAS
IOG SEM ACUC GREGO YORGUS 130G-PT 0%GORD MACA C/CANELA,IOGURTES
HORTELA HORTA CASEIRA UN .,HORTIFRUTI
LUBRIF SAE 90 SHELL SPIRAX S2 A GL-4 1L,AUTOMOTIVO
MIST PAO QUEIJO VILMA 3KG-SC,MERCEARIA DOCE
ESPUMANTE QTA BACELOS 750ML DEMI-SEC,BEBIDAS ALCOÓLICAS
CAST DE CAJU MUCURIPE C/SAL 100G TORRADO,MERCEARIA SALGADA
VELA SAO DOMINGOS DIV ESPIR SANTO,DECORAÇÃO
"IOG DANONE GREGO 100G, ABACAXI/IMAO",IOGURTES
VINAGRE MINHOTO 500ML ALCOOL COM ALHO,MERCEARIA SALGADA
CAFE BENTO GRAO 250GR TRAD,MERCEARIA DOCE
ERVA DOCE KI-FLOR 10GR .,MERCEARIA SALGADA
LICOR AMARETTO VENEZIA 700ML,BEBIDAS ALCOÓLICAS
GOIABADA FRUTOS TERRA TABLETE 350G,MERCEARIA DOCE
CERV COLORADO MURICA CREAM ALE GF 600ML,BEBIDAS ALCOÓLICAS
ISCA ESPECIAL PALETA SABOR GOURMET KG,CONGELADOS SALGADOS
SABON PALMOLIVE NAT SECRETA ACAI C/3,HIGIENE PESSOAL
SH PERT PLUS ANTICASPA CAB SECOS 200ML,CUIDADOS COM O CABELO
VINHO PORTUGUES VALE JUDIA BCO SETUBAL 750ML,BEBIDAS ALCOÓLICAS
DOCE SABOR DA VERTENTES 300G PE DE MOLEQUE,MERCEARIA DOCE
TACA BLUMENAU VINHO TT 820/VTIAZ,UTILIDADES DE COZINHA
CHA MATE RIO LT 335ML ORIG,BEBIDAS NÃO ALCOÓLICAS
VINHO CHILENO 750ml RAIZ DE CHILE CARMENERE,BEBIDAS ALCOÓLICAS
VINHO ARGENTINO SAURUS TT.PATAG PINOT NOIR 750ML,BEBIDAS ALCOÓLICAS
ESFREGAO P/ CHAO MAXIMO OBER 67X40 COL,LAVANDERIA
SALG APER AMENDOIM ANFEY HITT NUTS TRADICIONAL 90G,MERCEARIA DOCE
TEMP KNORR 40G MEU FEIJAO CARIOCA,MERCEARIA SALGADA
LIQUIDIFICADOR ARNO CLIC PRO JUICE 127V LN3S,ELETRO
PH FD PERSONAL VIP NEUTRO 8X30M,HIGIENE PESSOAL
COPO ELEGANCE LONG DRINK CISPER GRAY,UTILIDADES DE COZINHA
KIT TINTURA COR E TON 8.0 175G,CUIDADOS COM O CABELO
ATUM RALADO 170g OROMAR EM AGUA,MERCEARIA SALGADA
AGUA FARMAX OX 70ml,CUIDADOS COM O CABELO
BARRA CHOC AO LEITE 100G STELLA,MERCEARIA DOCE
VINHO CHILENO L BOLDOS RES CARMENERE 750ML,BEBIDAS ALCOÓLICAS
AZEITONA VDE DON FIDENCIO 300GR FATIADA,MERCEARIA SALGADA
MOLHO SHOYU MITSUWA 150ML,MERCEARIA SALGADA
PERFUME JULIANA PAES TENTACAO EDT 100ML,CUIDADOS COM O CORPO
SANDALIA IPANEMA HAPPY RS/RS 35,CALÇADO
SAB BAR INF POM POM HIDRATANTE LV5PG4 80G,HIGIENE PESSOAL INFANTIL
COLAGENO SUNFLOWER 120 COMP 1G,MERCEARIA DOCE
SHAMP SKALA ACACHONADOS 300ML C MACIOS,CUIDADOS COM O CABELO
PRENDEDOR DE ROUPA DE PLASTICO NI -DAISO,LAVANDERIA
"LOCAO HID MONANGE 200ML, TOQ CAR",CUIDADOS COM O CORPO
AMARANTO MONTAN FLOCOS 1KG,MERCEARIA DOCE
VINHO NACIONAL PERGOLA TTO SECO 750ML,BEBIDAS ALCOÓLICAS
AMENDOIM LINA 150G CROC PIC POTE,MERCEARIA DOCE
MASSA FR PIZZA FRIG DA FEIRA TRAD 270GR,MASSAS FRESCAS
FRALDA DESC DIGUIBABY PLUS G C/70,HIGIENE PESSOAL INFANTIL
CR VONO QUEIJO 53G,MERCEARIA SALGADA
MILHO VERDE PREDILECTA LT 2KG,MERCEARIA SALGADA
ESPUMA BARB GILLETTE FOAMY SENSITIVE 175G,CUIDADOS COM A BARBA
CHICLE TRIDENT CANELA C 4,MERCEARIA DOCE
FILE PEITO FRANGO MACEDO RESF BJ 1KG,AÇOUGUE
PASTA MAGICA MULTI USO 500G,PAPELARIA
MEIA LUPO BABY 00 BC 2025-002,INFANTIL
CAFETEIRA MONDIAL THERMO I 24X 220V C33,ELETRO
PARATUDO 900ML,BEBIDAS ALCOÓLICAS
BALA DROPS PAST MENTOS FTAS VERMELHAS 114G,MERCEARIA DOCE
FARINHA COCO 400GR NATURAL LIFE .,MERCEARIA DOCE
JOGO DE CARTAS UNO BARBIE COPAG,BRINQUEDO
FARINHA DE AVEIA K-LIFE 200GR .,MERCEARIA DOCE
ESMALTE VULT SOUNDTRACK 8ML,CUIDADOS COM MÃOS E PÉS
BISC WAFF PIRAQUE NEWAFER MOR 100G,MERCEARIA DOCE
CACAROLA ALUMAX FUNDIDA 22,UTILIDADES DE COZINHA
MANTEIGA PAYSAN BRETON C/SAL GUE 250G,GORDUROSOS
SUCO FAZENDA MARACUJA TP 1L,BEBIDAS NÃO ALCOÓLICAS
SAGU VERANITA 500G MANDIOCA,MERCEARIA DOCE
PRESERV OLLA C/3UN,CUIDADOS COM O CORPO
VINHO TTO CARMEN RES 750ML CARM CHI,BEBIDAS ALCOÓLICAS
CAIXA DE ISOPOR 7LTS ISOESTE,LAZER/CAMPING
LIMP PESADA VEJA 500ML,CUIDADOS COM A CASA
DROPS FREEGELLS 35GR NECTAR UVA,MERCEARIA DOCE
ESCOVA TAIRINI LAVA ROUPA MADEIRA .,LAVANDERIA
"BOLA EVA NA REDE UND, PALMEIRAS",BRINQUEDO
PINCA SOBR QVS MINI C/2,CUIDADOS COM O ROSTO
ERVILHA ORG FITO ARTES 120G-BJ,MERCEARIA SALGADA
BISC SAL IMP COLOMB DUX INTEG CRACK PACK 250G,MERCEARIA DOCE
COXAO DURO BOV MONTANA (TIRAS) (P) KG,AÇOUGUE
SANDALIA HAVAIANAS TOP DISNEY VERM RUBY 35/36,CALÇADO
DESINF FEROZ 5L-GL EUCALIPTO,CUIDADOS COM O BANHEIRO
COQUETEL V BARREIRO DESEJOS 910ML CAFE,BEBIDAS ALCOÓLICAS
MOLHO TOMATE SECO D.GOIAS PICANTE 145ML,MERCEARIA SALGADA
SAND IPANEMA TAN FEM 39/40 ROSA/PRAT,CALÇADO
VELA ROMANA N 9 ROSA,DESCARTÁVEIS
MOSTARDA 192x7g PREDILECTA SACHET,MERCEARIA SALGADA
PANO COPA KREA KIT LINHAS,LAVANDERIA
SANDALIA HAVAIANAS SLIM TROPICAL MORANGO 39/40,CALÇADO
SABAO PO LIMPISSIMA ADVANCED 1KG,CUIDADOS COM A ROUPA
TOALHA MESA KREA QUAD PVC 1429,"CAMA, MESA E BANHO"
LA ACO LIMPPANO C/4,CUIDADOS COM A COZINHA
TALCO ANTIS TENYS PE CANFORADO ED. LTDA 100G,CUIDADOS COM O CORPO
FACA LEGUMES TRAMONTINA INOX PLENUS 3 CINZA,UTILIDADES DE COZINHA
BATEDEIRA CADENCE PT/I 400W 127V BAT550,ELETRO
TESOURA 5? BASIC ORIGINAL,UTILIDADES DE COZINHA
MOLHO KUHNE MADE FOR MEAT PEPPE VD 257ML,MERCEARIA SALGADA
CABIDE PRIMAFER PENDURA LEVE6 PAGUE5 VERDE,LAVANDERIA
PREGO NEDO C/CAB 18X27 100GR 142 .,MANUTENÇÃO
GARFO INDIPEL REFEICAO CRISTAL C/10,DESCARTÁVEIS
MOP FORTA PASSA CERA ESPONJA UN,LAVANDERIA
CR PENTEAR NIELY DIVA POP 280G,CUIDADOS COM O CABELO
CERV BRAHMA LN 355ML,BEBIDAS ALCOÓLICAS
CANECA JUMBO OXFORD 740ML BC J163/0801,UTILIDADES DE COZINHA
MOP CONDOR C/CABO UN,LAVANDERIA
PINCEL IMP SILIC/ACACIA PT 31CM TC5101,UTILIDADES DE COZINHA
VINHO ESPUMANTE CASTILLO DE MONTE 750ML,BEBIDAS ALCOÓLICAS
PERFUME GOLD WOMEN 100ML,CUIDADOS COM O CORPO
PERFUME JAGUAR CLASSIC RED EDT 100ML,CUIDADOS COM O CORPO
ALIMENTOS CONGELADOS 300g BALSAMO QUIBE,SALGADOS
MASCARA CAP LOKENZZI REESTR INTENSO 250G,CUIDADOS COM O CABELO
VASS STA MARIA PHENIX 0956,LAVANDERIA
PAO FOR INTEG 3 GRAOS WICKBOLD 500G CER/AV/CEVADA,PADARIA
VINHO ESPH LOPEZ HARO CRIANZA 750ML TT,BEBIDAS ALCOÓLICAS
ESM COLORAMA VERNIZ&COR COSMOPOLITAN 8ML,CUIDADOS COM MÃOS E PÉS
ABS INT ALWAYS PLATINUM SUPER 8UN,CUIDADOS COM O CORPO
DES ROLL BRUT ATTITUDE 65ML,CUIDADOS COM O CORPO
QUEIJO REINO QUATA LT PECA KG,FRIOS
LENCO UMED ANJINHO AZUL RF C/60,HIGIENE PESSOAL INFANTIL
SAL MARINHO DANI MARROQUINO 100ML,MERCEARIA SALGADA
CERV ASHBY PALE ALE EXTRA GF 600ML,BEBIDAS ALCOÓLICAS
AMAC ROUPA CONC DOWNY ELEGANCE 500ML,CUIDADOS COM A ROUPA
ALVEJANTE S/CLORO VANISH EMB ECONOMICA 120G,CUIDADOS COM A ROUPA
PH FS DALMATA NEUTRO 30M C/8,HIGIENE PESSOAL
VINHO NACIONAL SALTON INTENSO MERLOT 750ML,BEBIDAS ALCOÓLICAS
SONHO CREME CG kg .,MERCEARIA DOCE
"SABONETE PALMOLIVE HID L6P5 85G, TURMAL",HIGIENE PESSOAL
PORTA RETRATO COM MOLDURA DE POLIETILENO -DAI,DECORAÇÃO
CERV SKOL PURO 600ml,BEBIDAS ALCOÓLICAS
QUEIJO COAL BUFALA B.DESTINO PESO,FRIOS
ALHO PROCES CHEIROSO 300G-PC DESCD,MERCEARIA SALGADA
SACO LIXO DOVER ROLL RECIC 15L 20%GRATIS,DESCARTÁVEIS
MUPPY 200 ML MARACUJA,BEBIDAS NÃO ALCOÓLICAS
CACAROLA MULTIFLON 20CM C/TP VD PRETA,UTILIDADES DE COZINHA
SORVETE JUNDIA SORVETERIA 950ML CROCANTE,CONGELADOS DOCES
REQUEIJAO CREM.QUERO QUERO S/LACTOSE 200G,GORDUROSOS
PA P/ LIXO PAROL CABO CURTO .,LAVANDERIA
AZEITONA VDE DEL CHEF 500G .,MERCEARIA SALGADA
PIRULITO BICO-LITO BICOLITAO 2KG-CX C/20,MERCEARIA DOCE
COGUMELO CHAMPIGNON CAMPO BELO 100G FAT. STAND UP,MERCEARIA SALGADA
ESM COLORAMA MAR MUTANTE 1UN-SM,CUIDADOS COM MÃOS E PÉS
CR DENT CREME COLGATE TOTAL 12 WHITENING 180G,HIGIENE ORAL
AGUARD VALE VERDE 700ML,BEBIDAS ALCOÓLICAS
DOCE GOSTOSURA 400G LEITE TRADICIONAL,MERCEARIA DOCE
JG TAPETE COZ CORTTEX BISTRO C/2 MARROM,DECORAÇÃO
LENCO UMED MAMYPOKO TOQUE SUAVE SACHE 50UN,HIGIENE PESSOAL INFANTIL
"PANELA PRESSAO ANTIAD OLIVEIRA 4,05L",UTILIDADES DE COZINHA
"PAO FOR INTEG SEVEN BOYS INT 350G, 7 GRAOS",PADARIA
ARROZ CAMIL RESERVA ESP 1KG TP1,MERCEARIA SALGADA
COLCHA FIRST ACASA KING E TAUPE SF010,"CAMA, MESA E BANHO"
PICOLE LA PALETA 120G LTE NINHO/FRUTA,CONGELADOS DOCES
BISC RECH DANIX CHOC SHAKE 140G,MERCEARIA DOCE
CREME LEITE PARMALAT TP CX 200G,MERCEARIA DOCE
COLCHA TEKA ORIGENS A CASAL PK,"CAMA, MESA E BANHO"
CR DENT CREME ORAL B 123 ANTI CARIES 70G LV12/PG9UN,HIGIENE ORAL
BOLO SL KG DELICIA COCO,MERCEARIA DOCE
VELA ROMANA SUPER N 9 BRANCA,DESCARTÁVEIS
FLOR NAT AZALEIA C.21 1UN,JARDINAGEM
BISC BIOSOFT 50G POLVILHO SNACK CHOCOLATE,MERCEARIA DOCE
ESCOVA CABELO MARCO BONI RAQUETE DEGRADE SOFT TOUCH,CUIDADOS COM O CABELO
LIMP PERF CASA&PERFUME INFANZIA 1L,CUIDADOS COM A CASA
CANETA FABER-CASTELL XTREME 1.0 PRETA UN,PAPELARIA
JG TACA NADIR PAULISTA SOBREMESA C/6,UTILIDADES DE COZINHA
VINHO TTO TERRA 750ML CARM CHI,BEBIDAS ALCOÓLICAS
SAND AD HAVAIANAS SLIM PETS 33/34 VDE/MACA,CALÇADO
OVO CAIPIRA VERMELHO GRANDE C/10 UNID,HORTIFRUTI
LAVA AUTO AC DELCO 300ML .,AUTOMOTIVO
SALAME RIO SUL MILANO KG,FRIOS
T.MAXTON KIT PRATICO 4.3 MARR.CRAV.,CUIDADOS COM O CABELO
LINGUICA TOSCANA PERDIGAO APIM NA 1KG,EMBUTIDOS
VINHO PORTUGUES ACACIO VERDE BCO 750ML,BEBIDAS ALCOÓLICAS
CHOC LACTA TAB LAKA OREO 90G,MERCEARIA DOCE
FRALDA BABYBOO FASES 12H XXG C12,HIGIENE PESSOAL INFANTIL
CAIXA SANTANA TOPA TUDO 6LI .,UTILIDADES DE COZINHA
CREME RAIZES DO BRASIL 150ML GRAVIOLA,CONGELADOS DOCES
ASSADEIRA ACASA CER RED 20CM VM 2417,UTILIDADES DE COZINHA
PAO QUEIJO CATARININHO CHOCOLATE 84G,SALGADOS
VINHO PORTUGUES M MARIALVA ARINTO RES 750ML,BEBIDAS ALCOÓLICAS
SAB BAR REXONA NATURAL FRESH 84G,HIGIENE PESSOAL
LAGARTO (TATU) BOV TOP QUALITY (BIFE) KG,AÇOUGUE
MESA PLAST ANTARES MONOBLOCO BCA OURO PTO,LAZER/CAMPING
SANDALIA HAVAIANAS COLOR SILK REGATA 35/36,CALÇADO
ESMALTE COLORAMA GEL NUDE DESEJO 8ML,CUIDADOS COM MÃOS E PÉS
